ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
0;2025-07-23 02:50:17;estandar;88,5;6;3;31;3;2036;845;507;1540;823439;957365;6180752785;23217689;27663;235
1;2025-07-23 02:51:17;estandar;17,5;6;3;72;3;2258;289;507;1540;824063;956741;6180795775;23217781;27664;235
2;2025-07-23 02:52:18;estandar;19,4;6;2;30;3;1935;659;507;1540;823696;957108;6180796038;23217927;27665;236
3;2025-07-23 02:53:18;estandar;2,8;6;1;39;2;2178;747;507;1540;823358;957446;6180796276;23218005;27666;235
4;2025-07-23 02:54:18;estandar;4,1;6;1;17;2;2180;758;507;1540;823315;957490;6180796510;23218074;27667;236
5;2025-07-23 02:55:19;estandar;10,4;6;0;69;2;2144;815;506;1541;823289;957515;6180796673;23218133;27668;236
6;2025-07-23 02:56:19;estandar;20,5;6;0;45;1;1930;866;506;1541;823447;957358;6180796879;23218207;27669;240
7;2025-07-23 02:57:19;estandar;4,1;6;0;20;1;1924;1043;506;1541;823275;957530;6180797048;23218270;27670;234
8;2025-07-23 02:58:20;estandar;7,9;6;0;24;1;1947;1021;506;1541;823272;957532;6180797237;23218334;27671;233
9;2025-07-23 02:59:20;estandar;1,4;6;0;08;0;1924;1043;506;1541;823272;957532;6180797428;23218414;27672;234
10;2025-07-23 03:00:20;estandar;2,7;6;0;17;0;1917;924;505;1542;823272;957532;6180797660;23218504;27673;233
11;2025-07-23 03:01:20;estandar;1,4;6;0;10;0;1929;912;505;1542;823272;957532;6180797881;23218590;27674;233
12;2025-07-23 03:02:21;estandar;4,1;6;0;11;0;1923;918;505;1542;823272;957532;6180798036;23218640;27675;233
13;2025-07-23 03:03:21;estandar;2,9;6;0;04;0;1917;923;505;1542;823272;957532;6180798214;23218701;27676;234
14;2025-07-23 03:04:21;estandar;2,7;6;0;01;0;1920;920;505;1542;823272;957532;6180798470;23218760;27677;234
15;2025-07-23 03:05:22;estandar;4,3;6;0;00;0;1916;921;505;1542;823272;957532;6180798684;23218876;27678;238
16;2025-07-23 03:06:22;estandar;4,6;6;0;00;0;1922;914;505;1542;823272;957532;6180798899;23219007;27679;237
17;2025-07-23 03:07:22;estandar;9,4;6;0;06;0;1921;915;505;1542;823273;957532;6180799126;23219137;27680;235
18;2025-07-23 03:08:23;estandar;4,1;6;0;16;0;1920;915;505;1542;823273;957532;6180799361;23219273;27681;235
19;2025-07-23 03:09:23;estandar;5,4;6;0;06;0;1916;919;505;1542;823273;957532;6180799595;23219400;27682;239
20;2025-07-23 03:10:23;estandar;4,1;6;0;02;0;1919;915;505;1542;823273;957532;6180799800;23219534;27683;237
21;2025-07-23 03:11:24;estandar;1,4;6;0;00;0;1918;917;505;1542;823273;957532;6180800031;23219658;27684;239
22;2025-07-23 03:12:24;estandar;4;6;0;00;0;1921;913;505;1542;823273;957532;6180800267;23219781;27685;241
23;2025-07-23 03:13:24;estandar;4;6;0;00;0;1916;917;505;1542;823273;957532;6180800482;23219904;27686;236
24;2025-07-23 03:14:25;estandar;2,7;6;0;04;0;1916;916;505;1542;823273;957532;6180800827;23220042;27687;237
25;2025-07-23 03:15:25;estandar;4;6;0;01;0;1918;915;505;1542;823273;957532;6180800997;23220125;27688;236
26;2025-07-23 03:16:25;estandar;2,7;6;0;13;0;1918;915;505;1542;823273;957532;6180801188;23220200;27689;236
27;2025-07-23 03:17:26;estandar;2,7;6;0;05;0;1916;916;505;1542;823273;957532;6180801362;23220262;27690;233
28;2025-07-23 03:18:26;estandar;5,3;6;0;02;0;1916;917;505;1542;823273;957532;6180801576;23220371;27691;237
29;2025-07-23 03:19:26;estandar;2,9;6;0;00;0;1914;918;505;1542;823273;957532;6180801758;23220465;27692;233
30;2025-07-23 03:20:26;estandar;4,1;6;0;00;0;1918;914;505;1542;823273;957532;6180801922;23220526;27693;234
31;2025-07-23 03:21:27;estandar;1,5;6;0;00;0;1920;910;505;1542;823273;957531;6180802745;23220606;27694;233
32;2025-07-23 03:22:27;estandar;4;6;0;00;0;1918;912;505;1542;823273;957531;6180802946;23220683;27695;234
33;2025-07-23 03:23:27;estandar;1,4;6;0;00;0;1918;913;505;1542;823273;957531;6180803327;23220792;27696;233
34;2025-07-23 03:24:28;estandar;4,1;6;0;11;0;1919;912;505;1542;823273;957531;6180803548;23220877;27697;234
35;2025-07-23 03:25:28;estandar;2,7;6;0;04;0;1924;906;505;1542;823273;957531;6180803756;23220952;27698;235
36;2025-07-23 03:26:28;estandar;2,7;6;0;01;0;1919;911;505;1542;823273;957531;6180803948;23221029;27699;236
37;2025-07-23 03:27:29;estandar;2,7;6;0;08;0;1919;911;505;1542;823273;957531;6180804140;23221100;27700;235
38;2025-07-23 03:28:29;estandar;4;6;0;03;0;1918;912;505;1542;823273;957531;6180804343;23221178;27701;236
39;2025-07-23 03:29:29;estandar;1,5;6;0;13;0;1922;906;505;1542;823273;957531;6180805710;23221286;27702;237
40;2025-07-23 03:30:30;estandar;1,4;6;0;11;0;1927;901;505;1542;823273;957531;6180805992;23221370;27703;236
41;2025-07-23 03:31:30;estandar;4;6;0;04;0;1920;908;505;1542;823273;957531;6180806268;23221450;27704;233
42;2025-07-23 03:32:30;estandar;4,1;6;0;09;0;1920;908;505;1542;823273;957531;6180806485;23221525;27705;234
43;2025-07-23 03:33:30;estandar;2,7;6;0;03;0;1923;905;505;1542;823273;957531;6180806665;23221593;27706;233
44;2025-07-23 03:34:31;estandar;2,7;6;0;05;0;1921;905;505;1542;823274;957530;6180809725;23221681;27707;233
45;2025-07-23 03:35:31;estandar;2,8;6;0;08;0;1920;906;505;1542;823274;957530;6180810036;23221768;27708;234
46;2025-07-23 03:36:31;estandar;2,7;6;0;03;0;1925;899;505;1542;823274;957530;6180815571;23221905;27709;234
47;2025-07-23 03:37:32;estandar;2,7;6;0;01;0;1918;905;505;1542;823274;957530;6180815890;23222007;27710;236
48;2025-07-23 03:38:32;estandar;2,7;6;0;00;0;1920;903;505;1542;823274;957530;6180816160;23222093;27711;234
49;2025-07-23 03:39:32;estandar;4,1;6;0;00;0;1925;898;505;1542;823274;957530;6180816356;23222166;27712;234
50;2025-07-23 03:40:33;estandar;4,1;6;0;00;0;1927;895;505;1542;823274;957530;6180819289;23222261;27713;233
51;2025-07-23 03:41:33;estandar;2,7;6;0;00;0;1924;898;505;1542;823274;957530;6180819507;23222342;27714;233
52;2025-07-23 03:42:33;estandar;2,8;6;0;11;0;1925;896;505;1542;823274;957530;6180819726;23222424;27715;233
53;2025-07-23 03:43:34;estandar;2,7;6;0;12;0;1923;898;505;1542;823274;957530;6180819989;23222499;27716;234
54;2025-07-23 03:44:34;estandar;2,7;6;0;04;0;1923;898;505;1542;823274;957530;6180820176;23222573;27717;232
55;2025-07-23 03:45:34;estandar;1,4;6;0;05;0;1925;896;505;1542;823274;957530;6180820367;23222637;27718;235
56;2025-07-23 03:46:34;estandar;2,8;6;0;02;0;1920;901;505;1542;823274;957530;6180820547;23222704;27719;235
57;2025-07-23 03:47:35;estandar;2,9;6;0;00;0;1919;897;505;1542;823274;957530;6180820718;23222766;27720;236
58;2025-07-23 03:48:35;estandar;1,4;6;0;08;0;1927;889;505;1542;823274;957530;6180820881;23222828;27721;234
59;2025-07-23 03:49:35;estandar;1,5;6;0;11;0;1926;889;505;1542;823274;957530;6180821142;23222892;27722;236
